ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3512276,HK587712,08/28/2004 05:50:56 PM,047XX S KEDZIE AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,False,911,9.0,14.0,58.0,06,1155838.0,1873050.0,2004,02/10/2018 03:50:01 PM,41.807440500000006,-87.703955849,"(41.8074405, -87.703955849)"
3406613,HK456306,06/26/2004 12:40:00 PM,009XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,OTHER,False,False,1112,11.0,27.0,23.0,06,1152206.0,1906127.0,2004,02/28/2018 03:56:25 PM,41.898279962,-87.716405505,"(41.898279962, -87.716405505)"
8002131,HT233595,04/04/2011 05:45:00 AM,043XX S WABASH AVE,0820,THEFT,$500 AND UNDER,NURSING HOME/RETIREMENT HOME,False,False,221,2.0,3.0,38.0,06,1177436.0,1876313.0,2011,02/10/2018 03:50:01 PM,41.815933131,-87.624642127,"(41.815933131, -87.624642127)"
7903289,HT133522,12/30/2010 04:30:00 PM,083XX S KINGSTON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,423,4.0,7.0,46.0,06,1194622.0,1850125.0,2010,02/10/2018 03:50:01 PM,41.743665322,-87.562462756,"(41.743665322, -87.562462756)"
10402076,HZ138551,02/02/2016 07:30:00 PM,033XX W 66TH ST,0820,THEFT,$500 AND UNDER,ALLEY,False,False,831,8.0,15.0,66.0,06,1155240.0,1860661.0,2016,02/10/2018 03:50:01 PM,41.773455295,-87.706480471,"(41.773455295, -87.706480471)"
7732712,HS540106,09/29/2010 07:59:00 AM,006XX W CHICAGO AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1323,12.0,27.0,24.0,06,1171668.0,1905607.0,2010,02/10/2018 03:50:01 PM,41.896446772,-87.64493867799999,"(41.896446772, -87.644938678)"
10769475,HZ534771,11/30/2016 01:15:00 AM,050XX N KEDZIE AVE,0810,THEFT,OVER $500,STREET,False,False,1713,17.0,33.0,14.0,06,1154133.0,1933314.0,2016,02/10/2018 03:50:01 PM,41.972844913,-87.70860007899999,"(41.972844913, -87.708600079)"
4494340,HL793243,12/16/2005 04:45:00 PM,005XX E PERSHING RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,213,2.0,3.0,38.0,06,1180448.0,1879234.0,2005,02/28/2018 03:56:25 PM,41.823879885,-87.61350385700001,"(41.823879885, -87.613503857)"
3778925,HL149610,01/28/2005 05:00:00 PM,100XX S WASHTENAW AVE,0810,THEFT,OVER $500,STREET,False,False,2211,22.0,19.0,72.0,06,1160129.0,1838040.0,2005,02/28/2018 03:56:25 PM,41.711280513,-87.68917909700001,"(41.711280513, -87.689179097)"
3324217,HK361551,05/13/2004 02:15:00 PM,033XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,1733,17.0,35.0,21.0,06,1153590.0,1921084.0,2004,02/28/2018 03:56:25 PM,41.939295821,-87.71092344200001,"(41.939295821, -87.710923442)"
